Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Thu Aug 10 2006,Minnesota Lynx,66,Sacramento Monarchs,74,Box Score
Thu Aug 10 2006,Seattle Storm,65,San Antonio Silver Stars,75,Box Score
Fri Aug 11 2006,Indiana Fever,87,Connecticut Sun,68,Box Score
Fri Aug 11 2006,Charlotte Sting,62,New York Liberty,64,Box Score
Fri Aug 11 2006,Detroit Shock,66,Washington Mystics,78,Box Score
Sat Aug 12 2006,Chicago Sky,57,Charlotte Sting,84,Box Score
Sat Aug 12 2006,Seattle Storm,72,Houston Comets,89,Box Score
Sat Aug 12 2006,Phoenix Mercury,95,San Antonio Silver Stars,93,Box Score
Sun Aug 13 2006,Connecticut Sun,65,Detroit Shock,88,Box Score
Sun Aug 13 2006,Chicago Sky,80,Indiana Fever,73,Box Score
Sun Aug 13 2006,Minnesota Lynx,59,Los Angeles Sparks,78,Box Score
Sun Aug 13 2006,Washington Mystics,81,New York Liberty,93,Box Score
Sun Aug 13 2006,Sacramento Monarchs,71,Phoenix Mercury,81,Box Score
Thu Aug 17 2006,Sacramento Monarchs,93,Houston Comets,78,Box Score
Thu Aug 17 2006,Detroit Shock,68,Indiana Fever,56,Box Score
Fri Aug 18 2006,Los Angeles Sparks,72,Seattle Storm,84,Box Score
Fri Aug 18 2006,Connecticut Sun,76,Washington Mystics,61,Box Score
Sat Aug 19 2006,Indiana Fever,83,Detroit Shock,98,Box Score
Sat Aug 19 2006,Houston Comets,64,Sacramento Monarchs,92,Box Score
Sun Aug 20 2006,Washington Mystics,65,Connecticut Sun,68,Box Score
Sun Aug 20 2006,Seattle Storm,70,Los Angeles Sparks,78,Box Score
Tue Aug 22 2006,Seattle Storm,63,Los Angeles Sparks,68,Box Score
Thu Aug 24 2006,Connecticut Sun,59,Detroit Shock,70,Box Score
Thu Aug 24 2006,Los Angeles Sparks,61,Sacramento Monarchs,64,Box Score
Sat Aug 26 2006,Detroit Shock,68,Connecticut Sun,77,Box Score
Sat Aug 26 2006,Sacramento Monarchs,72,Los Angeles Sparks,58,Box Score
Sun Aug 27 2006,Detroit Shock,79,Connecticut Sun,55,Box Score
Wed Aug 30 2006,Sacramento Monarchs,95,Detroit Shock,71,Box Score
Fri Sep 1 2006,Sacramento Monarchs,63,Detroit Shock,73,Box Score
Sun Sep 3 2006,Detroit Shock,69,Sacramento Monarchs,89,Box Score
Wed Sep 6 2006,Detroit Shock,72,Sacramento Monarchs,52,Box Score
Sat Sep 9 2006,Sacramento Monarchs,75,Detroit Shock,80,Box Score
