Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
16	Fri	2021-03-12	18:45 (11:45)	Bordeaux	2–3	Paris FC		Stade Jean-Antoine Moueix	Alexandra Collin	Match Report	
16	Sat	2021-03-13	14:30 (07:30)	Stade de Reims	4–0	Soyaux		Stade Louis Blériot N°2 	Justine Catania	Match Report	
16	Sat	2021-03-13	14:30 (07:30)	Dijon	3–1	Fleury		Stade des Poussots 1	Emeline Rochebiliere	Match Report	
16	Sat	2021-03-13	14:30 (07:30)	Le Havre	1–4	Montpellier		Stade Océane	Gabrielle Guillot	Match Report	
16	Sat	2021-03-13	14:30 (07:30)	Guingamp	2–0	Issy		Stade Centre Formation EAG 1	Maika Vanderstichel	Match Report	
											
17	Sat	2021-03-27	14:30 (08:30)	Stade de Reims	2–1	Le Havre		Stade Louis Blériot N°2 	Alexandra Collin	Match Report	
17	Sat	2021-03-27	14:30 (08:30)	Fleury	1–2	Bordeaux		Stade Auguste Gentelet N°2	Charlène Laur	Match Report	
17	Sat	2021-03-27	14:30 (08:30)	Soyaux	0–0	Guingamp		Stade Léo Lagrange	Romy Fournier	Match Report	
17	Sat	2021-03-27	18:45 (12:45)	Montpellier	0–3	Paris S-G		Stade Bernard Gasset Terrain n°7	Savina Elbour	Match Report	
17	Sat	2021-03-27	18:45 (12:45)	Dijon	0–3	Lyon		Stade des Poussots 1	Maika Vanderstichel	Match Report	
											
18	Sat	2021-04-03	14:30 (07:30)	Bordeaux	1–0	Issy		Stade Sainte-Germaine	Justine Catania	Match Report	
18	Sat	2021-04-03	14:30 (07:30)	Le Havre	0–2	Dijon		Stade Océane	Vanessa Cruchon	Match Report	
18	Sat	2021-04-03	14:30 (07:30)	Montpellier	0–4	Stade de Reims		Stade Bernard Gasset Terrain n°7	Emeline Rochebiliere	Match Report	
18	Sun	2021-04-04	13:00 (06:00)	Paris S-G	7–0	Soyaux		Stade Municipal Georges Lefèvre	Gabrielle Guillot	Match Report	
											
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
19	Sat	2021-04-17	14:30 (07:30)	Fleury	0–2	Guingamp		Stade Auguste Gentelet	Savina Elbour	Match Report	
19	Sat	2021-04-17	14:30 (07:30)	Soyaux	0–2	Bordeaux		Stade Léo Lagrange	Victoria Beyer	Match Report	
19	Sat	2021-04-17	14:30 (07:30)	Stade de Reims	2–1	Dijon		Stade Louis Blériot N°2 	Romy Fournier	Match Report	
19	Sat	2021-04-17	15:00 (08:00)	Issy	0–3	Montpellier		Stade Le Gallo	Vanessa Cruchon	Match Report	
											
18	Sat	2021-04-24	14:30 (07:30)	Paris FC	2–0	Fleury		Stade Sébastien Charléty	Victoria Beyer	Match Report	
18	Sat	2021-04-24	15:15 (08:15)	Guingamp	0–5	Lyon		Stade Centre Formation EAG 1	Savina Elbour	Match Report	
											
19	Fri	2021-04-30	18:30 (11:30)	Lyon	5–1	Le Havre		Groupama OL Academy Décines-Charpieu 	Charlène Laur	Match Report	
											
17	Sat	2021-05-01	14:30 (07:30)	Issy	0–4	Paris FC		Stade Le Gallo	Maika Vanderstichel	Match Report	
											
19	Thu	2021-05-06	18:30 (11:30)	Paris FC	2–3	Paris S-G		Stade Sébastien Charléty	Savina Elbour	Match Report	
											
20	Sat	2021-05-08	14:30 (07:30)	Guingamp	0–0	Stade de Reims		Stade Centre Formation EAG 1	Alexandra Collin	Match Report	
20	Sat	2021-05-08	14:30 (07:30)	Soyaux	1–0	Fleury		Stade Léo Lagrange	Justine Catania	Match Report	
20	Sat	2021-05-08	14:30 (07:30)	Montpellier	0–1	Bordeaux		Stade Bernard Gasset Terrain n°7	Victoria Beyer	Match Report	
20	Sun	2021-05-09	17:30 (10:30)	Dijon	0–1	Paris FC		Stade des Poussots 1	Gabrielle Guillot	Match Report	
20	Sun	2021-05-09	17:30 (10:30)	Issy	0–4	Lyon		Stade Le Gallo	Emeline Rochebiliere	Match Report	
