Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Wed	2019-09-25	20:00 	Dash	0.6	0–0	1.4	Spirit	5,247	BBVA Stadium	Katja Koroleva	Match Report	
Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sat	2019-09-28	19:00 (18:00)	Spirit	0.3	2–1	2.9	Courage	5,200	Maureen Hendricks Field Maryland SoccerP...	Ismir Pekmic	Match Report	
Sun	2019-09-29	11:00 (13:00)	Reign	1.9	2–0	1.0	Thorns	7,370	Cheney Stadium	Matthew Franz	Match Report	
Sun	2019-09-29	11:00 (10:00)	Sky Blue	1.4	1–1	1.7	Pride	8,314	Red Bull Arena	Karen Callado	Match Report	
Sat	2019-09-28	19:00 	Red Stars	1.5	2–1	1.3	Utah	4,839	SeatGeek Stadium	Elvis Osmanovic	Match Report	
Sat	2019-10-05	17:00 (16:00)	Pride	0.4	0–3	1.0	Spirit	6,054	Exploria Stadium	Tori Penso	Match Report	
Sat	2019-10-12	19:00 (18:00)	Courage	2.1	3–2	0.9	Sky Blue	9,195	Sahlen's Stadium at WakeMed Soccer Park	Jasmine Peralta	Match Report	
Sat	2019-10-12	19:30 (18:30)	Pride	2.2	2–2	1.9	Reign	8,103	Exploria Stadium	Kevin Broadley	Match Report	
Sat	2019-10-12	19:00 (20:00)	Utah	2.6	2–1	0.7	Dash	9,513	Rio Tinto Stadium	Guido Gonzalez Jr.	Match Report	
Sat	2019-10-12	19:30 (21:30)	Thorns	3.0	0–0	0.2	Spirit	24,521	Providence Park	Farhad Dadkho	Match Report	
