Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sun	2017-08-13	19:30 	Dash	0–1	Kansas City	4,352	BBVA Compass Stadium	Robi Hullner	Match Report	
Wed	2017-08-16	19:30 (18:30)	Boston	1–3	Dash	3,003	Jordan Field	Matthew Franz	Match Report	
Wed	2017-08-16	19:00 	Red Stars	1–2	Reign	2,876	Toyota Park	Robinson Khongsai	Match Report	
Wed	2017-08-16	21:00 	Kansas City	2–1	Thorns	428	Swope Soccer Village Main Field	Marco Vega	Match Report	
Sat	2017-08-19	15:30 (14:30)	Courage	2–0	Spirit	3,530	WakeMed Soccer Park	Elvis Osmanovic	Match Report	
Sat	2017-08-19	16:00 (15:00)	Boston	1–2	Pride	4,321	Jordan Field	Gustavo Solorio	Match Report	
Sat	2017-08-19	19:00 (18:00)	Sky Blue	5–4	Reign	3,325	The Soccer/Lacrosse Stadium at Yurcak Fi...	Chris Spivey	Match Report	
Sun	2017-08-20	17:00 	Red Stars	1–3	Kansas City	3,314	Toyota Park	Karen Abt	Match Report	
Sat	2017-08-19	19:00 (21:00)	Thorns	2–0	Dash	19,672	Providence Park	Christina Unkel	Match Report	
Sat	2017-08-26	13:00 (15:00)	Reign	1–2	Thorns	6,041	Seattle High School Memorial Stadium	Farhad Dadkho	Match Report	
Sat	2017-08-26	14:30 	Kansas City	1–2	Pride	2,812	Swope Soccer Village Main Field	Robinson Khongsai	Match Report	
Sat	2017-08-26	19:00 (18:00)	Sky Blue	1–0	Boston	2,244	The Soccer/Lacrosse Stadium at Yurcak Fi...	Christina Unkel	Match Report	
Sat	2017-08-26	19:00 (18:00)	Spirit	1–2	Red Stars	3,469	Maureen Hendricks Field at Maryland Socc...	Kevin Broadley	Match Report	
Wed	2017-08-30	19:30 (18:30)	Spirit	2–3	Courage	2,365	Maureen Hendricks Field at Maryland Socc...	Amber O'Connor	Match Report	
Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sat	2017-09-02	12:30 (14:30)	Thorns	4–0	Spirit	19,141	Providence Park	Katja Koroleva	Match Report	
Sat	2017-09-02	19:30 (18:30)	Pride	4–2	Boston	5,413	Orlando City Stadium	Kevin Broadley	Match Report	
Sun	2017-09-03	17:00 	Red Stars	2–1	Courage	3,745	Toyota Park	Lukasz Szpala	Match Report	
Sun	2017-09-03	17:00 	Kansas City	4–1	Sky Blue	1,571	Swope Soccer Village Main Field	Luis Guardia	Match Report	
Sun	2017-09-03	19:00 	Dash	0–1	Reign	1,258	BBVA Compass Stadium	Rosendo Mendoza	Match Report	
Thu	2017-09-07	20:00 (19:00)	Pride	1–1	Reign	4,341	Orlando City Stadium	Daniel Gutierrez	Match Report	
Sat	2017-09-09	14:30 	Kansas City	0–0	Red Stars	963	Swope Soccer Village Main Field	Michael Radchuk	Match Report	
Sat	2017-09-09	19:30 (18:30)	Courage	1–0	Dash	4,702	WakeMed Soccer Park	Karen Abt	Match Report	
Sun	2017-09-10	18:00 (17:00)	Boston	0–1	Thorns	3,015	Jordan Field	Robinson Khongsai	Match Report	
Sun	2017-09-10	18:00 (17:00)	Sky Blue	1–2	Spirit	2,008	The Soccer/Lacrosse Stadium at Yurcak Fi...	Becky Pagan	Match Report	
Sat	2017-09-23	15:30 (14:30)	Pride	0–0	Thorns	7,353	Orlando City Stadium	Chris Spivey	Match Report	
Sat	2017-09-23	19:00 (18:00)	Spirit	0–3	Boston	3,475	Maureen Hendricks Field at Maryland Socc...	Luis Guardia	Match Report	
Sun	2017-09-24	18:00 (17:00)	Sky Blue	1–1	Courage	2,690	The Soccer/Lacrosse Stadium at Yurcak Fi...	Lorant Varga	Match Report	
Sat	2017-09-23	19:30 	Dash	2–3	Red Stars	6,707	BBVA Compass Stadium	Marco Vega	Match Report	
Sun	2017-09-24	18:00 (20:00)	Reign	0–1	Kansas City	4,991	Seattle High School Memorial Stadium	Karen Abt	Match Report	
Wed	2017-09-27	19:00 	Dash	0–4	Courage	2,905	BBVA Compass Stadium	Michael Radchuk	Match Report	
Sat	2017-09-30	12:30 (14:30)	Thorns	3–1	Red Stars	21,144	Providence Park	Elvis Osmanovic	Match Report	
Sat	2017-09-30	19:00 (18:00)	Boston	3–4	Sky Blue	3,497	Jordan Field	Karen Abt	Match Report	
Sat	2017-09-30	19:00 (18:00)	Spirit	2–3	Reign	3,780	Maureen Hendricks Field at Maryland Socc...	Robinson Khongsai	Match Report	
Sat	2017-09-30	19:30 (18:30)	Courage	2–3	Pride	7,020	WakeMed Soccer Park	Farhad Dadkho	Match Report	
Sun	2017-10-01	17:00 	Kansas City	1–1	Dash	1,312	Swope Soccer Village Main Field	Lukasz Szpala	Match Report
