Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
13	Sun	2018-02-25	14:00 (07:00)	Werder Bremen	1–1	USV Jena	165	Weserstadion Platz 11	Susann Kunkel	Match Report	
											
14	Sun	2018-03-18	14:00 (08:00)	MSV Duisburg	1–0	Werder Bremen	303	PCC-Stadion	Laura Duske	Match Report	
14	Sun	2018-03-18	14:00 (08:00)	Köln	0–8	Bayern Munich	495	Südstadion	Fabienne Michel	Match Report	
											
15	Sat	2018-03-24	14:00 (08:00)	Bayern Munich	1–0	Hoffenheim	425	Städtisches Stadion an der Grünwalder St...	Kathrin Heimann	Match Report	
15	Sun	2018-03-25	11:00 (04:00)	FFC Frankfurt	4–2	USV Jena	1,240	Stadion am Brentanobad	Angelika Söder	Match Report	
15	Sun	2018-03-25	14:00 (07:00)	Werder Bremen	1–5	Turbine Potsdam	454	Weserstadion Platz 11	Riem Hussein	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
15	Sun	2018-03-25	14:00 (07:00)	Freiburg	6–0	Köln	734	Möslestadion	Melissa Joos	Match Report	
15	Sun	2018-03-25	14:00 (07:00)	Essen	3–0	Sand	816	Stadion Essen	Katrin Rafalski	Match Report	
15	Sun	2018-03-25	14:00 (07:00)	Wolfsburg	1–0	MSV Duisburg	1,540	AOK Stadion	Christine Weigelt 	Match Report	
											
14	Wed	2018-03-28	17:00 (10:00)	Sand	3–2	FFC Frankfurt	312	Orsay Stadion	Melissa Joos	Match Report	
											
13	Wed	2018-03-28	19:00 (12:00)	Turbine Potsdam	2–0	MSV Duisburg	672	Karl-Liebknecht-Stadion	Mirka Derlin	Match Report	
											
16	Thu	2018-03-29	18:30 (11:30)	Hoffenheim	0–1	Köln	320	Dietmar-Hopp-Stadion	Hanna Schlemmer	Match Report	
16	Sat	2018-03-31	11:00 (04:00)	Werder Bremen	0–3	Freiburg	188	Weserstadion Platz 11	Miriam Schweinefuss	Match Report	
16	Sun	2018-04-01	11:00 (04:00)	Sand	0–4	Bayern Munich	1,182	Orsay Stadion	Riem Hussein	Match Report	
16	Sun	2018-04-01	14:00 (07:00)	MSV Duisburg	2–0	FFC Frankfurt	441	PCC-Stadion	Marina Wozniak	Match Report	
16	Sun	2018-04-01	14:00 (07:00)	USV Jena	0–1	Essen	279	Ernst-Abbe-Sportfeld	Mirka Derlin	Match Report	
16	Sun	2018-04-01	15:00 (08:00)	Turbine Potsdam	0–1	Wolfsburg	1,366	Karl-Liebknecht-Stadion	Susann Kunkel	Match Report	
											
14	Wed	2018-04-18	17:30 (10:30)	Turbine Potsdam	1–0	Freiburg	1,227	Karl-Liebknecht-Stadion	Riem Hussein	Match Report	
14	Wed	2018-04-18	18:30 (11:30)	Hoffenheim	3–1	Essen	240	Dietmar-Hopp-Stadion	Sandra Stolz	Match Report	
											
17	Sun	2018-04-22	11:00 (04:00)	FFC Frankfurt	0–1	Turbine Potsdam	1,610	Stadion am Brentanobad	Christine Weigelt 	Match Report	
17	Sun	2018-04-22	11:00 (04:00)	Köln	0–6	Sand	425	Südstadion	Sina Diekmann	Match Report	
17	Sun	2018-04-22	14:00 (07:00)	Bayern Munich	0–0	USV Jena	433	Städtisches Stadion an der Grünwalder St...	Melissa Joos	Match Report	
17	Sun	2018-04-22	14:00 (07:00)	Essen	3–1	MSV Duisburg	1,415	Stadion Essen	Miriam Schweinefuss	Match Report	
17	Sun	2018-04-22	14:00 (07:00)	Hoffenheim	0–1	Freiburg	1,220	Dietmar-Hopp-Stadion	Karoline Wacker	Match Report	
											
14	Wed	2018-04-25	17:30 (10:30)	USV Jena	0–4	Wolfsburg	378	Ernst-Abbe-Sportfeld	Karoline Wacker	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
											
18	Sun	2018-04-29	11:00 (04:00)	Sand	0–0	Hoffenheim	475	Orsay Stadion	Ines Appelmann	Match Report	
18	Sun	2018-04-29	11:00 (04:00)	Werder Bremen	0–1	FFC Frankfurt	308	Weserstadion Platz 11	Mirka Derlin	Match Report	
18	Sun	2018-04-29	14:00 (07:00)	Turbine Potsdam	1–2	Essen	1,556	Karl-Liebknecht-Stadion	Franziska Wildfeuer	Match Report	
18	Sun	2018-04-29	14:00 (07:00)	MSV Duisburg	1–3	Bayern Munich	612	PCC-Stadion	Hanna Schlemmer	Match Report	
18	Sun	2018-04-29	14:00 (07:00)	USV Jena	0–0	Köln	360	Ernst-Abbe-Sportfeld	Angelika Söder	Match Report	
											
17	Wed	2018-05-02	17:00 (10:00)	Werder Bremen	0–5	Wolfsburg	421	Weserstadion Platz 11	Kathrin Heimann	Match Report	
											
19	Sun	2018-05-06	11:00 (04:00)	FFC Frankfurt	0–2	Wolfsburg	1,580	Stadion am Brentanobad	Marina Wozniak	Match Report	
19	Sun	2018-05-06	11:00 (04:00)	Freiburg	3–0	Sand	1,249	Möslestadion	Angelika Söder	Match Report	
19	Sun	2018-05-06	14:00 (07:00)	Hoffenheim	2–3	USV Jena	1,050	Dietmar-Hopp-Stadion	Laura Duske	Match Report	
19	Sun	2018-05-06	14:00 (07:00)	Essen	6–2	Werder Bremen	713	Stadion Essen	Fabienne Michel	Match Report	
19	Sun	2018-05-06	14:00 (07:00)	Bayern Munich	5–0	Turbine Potsdam	1,025	Städtisches Stadion an der Grünwalder St...	Ines Appelmann	Match Report	
19	Sun	2018-05-06	14:00 (07:00)	Köln	0–2	MSV Duisburg	525	Franz-Kremer-Stadion	Karoline Wacker	Match Report	
											
18	Wed	2018-05-09	17:00 (10:00)	Wolfsburg	2–0	Freiburg	1,508	AOK Stadion	Susann Kunkel	Match Report	
