Day,Date,Time,HomeTeam,xG,Score,xG _1,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
Thu,2020-02-13,19:00 (13:00),Liverpool,0.8,2–3,1.9,Arsenal,660,Prenton Park,Rebecca Welch,Match Report,
Sun,2020-02-23,12:30 (06:30),Everton,1.4,2–3,1.3,Manchester Utd,893,Walton Hall Park,Andrew Sykes,Match Report,
Sun,2020-02-23,14:00 (08:00),Birmingham City,0.6,0–1,0.7,Bristol City,659,Damson Park,Stacey Pearson,Match Report,
Sun,2020-02-23,14:00 (08:00),Manchester City,2.6,3–3,1.2,Chelsea,"3,542",Academy Stadium,Rebecca Welch,Match Report,
Sun,2020-02-23,14:00 (08:00),Arsenal,,,,Reading,,Meadow Park,,Match Report,Match Cancelled
Sun,2020-02-23,14:00 (08:00),Brighton,0.6,0–1,1.2,Tottenham,964,Checkatrade.com Stadium,Louise Saunders,Match Report,
Sun,2020-02-23,15:00 (09:00),West Ham,1.6,4–2,1.5,Liverpool,"1,877",Rush Green Stadium,Matthew Russell,Match Report,
Sun,2020-03-22,12:00 (07:00),Manchester Utd,,,,West Ham,,Leigh Sports Village Stadium,,Match Report,Match Cancelled
Sun,2020-03-22,14:00 (09:00),Liverpool,,,,Manchester City,,Prenton Park,,Match Report,Match Cancelled
Sun,2020-03-22,14:00 (09:00),Tottenham,,,,Birmingham City,,The Hive Stadium,,Match Report,Match Cancelled
Sun,2020-03-22,14:00 (09:00),Chelsea,,,,Everton,,Cherry Red Records Fans' Stadium,,Match Report,Match Cancelled
Sun,2020-03-22,14:00 (09:00),Reading,,,,Brighton,,Adams Park,,Match Report,Match Cancelled
Sun,2020-03-22,15:00 (10:00),Bristol City,,,,Arsenal,,Stoke Gifford Stadium,,Match Report,Match Cancelled
Wed,2020-03-25,19:00 (14:00),Everton,,,,Liverpool,,Walton Hall Park,,Match Report,Match Cancelled
Day ,Date ,Time ,Home ,xG ,Score ,xG ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
Wed,2020-03-25,19:30 (14:30),Birmingham City,,,,Manchester Utd,,Damson Park,,Match Report,Match Cancelled
Sat,2020-03-28,15:00 (10:00),Manchester Utd,,,,Manchester City,,Leigh Sports Village Stadium,,Match Report,Match Cancelled
Sun,2020-03-29,12:00 (06:00),West Ham,,,,Arsenal,,Rush Green Stadium,,Match Report,Match Cancelled
Sun,2020-03-29,12:30 (06:30),Everton,,,,Birmingham City,,Walton Hall Park,,Match Report,Match Cancelled
Sun,2020-03-29,14:00 (08:00),Tottenham,,,,Chelsea,,The Hive Stadium,,Match Report,Match Cancelled
Sun,2020-03-29,14:00 (08:00),Brighton,,,,Bristol City,,Checkatrade.com Stadium,,Match Report,Match Cancelled
Sun,2020-03-29,14:00 (08:00),Reading,,,,Liverpool,,Adams Park,,Match Report,Match Cancelled
Wed,2020-04-01,19:30 (13:30),West Ham,,,,Everton,,Rush Green Stadium,Robert Massey Ellis,Match Report,Match Cancelled
Sun,2020-04-05,14:00 (08:00),Birmingham City,,,,West Ham,,Damson Park,,Match Report,Match Cancelled
Sun,2020-04-05,14:00 (08:00),Liverpool,,,,Tottenham,,Prenton Park,,Match Report,Match Cancelled
Sun,2020-04-05,14:00 (08:00),Manchester City,,,,Reading,,Academy Stadium,,Match Report,Match Cancelled
Sun,2020-04-05,14:00 (08:00),Chelsea,,,,Brighton,,Cherry Red Records Fans' Stadium,,Match Report,Match Cancelled
Sun,2020-04-05,14:00 (08:00),Arsenal,,,,Manchester Utd,,Meadow Park,,Match Report,Match Cancelled
Sun,2020-04-05,15:00 (09:00),Bristol City,,,,Everton,,Stoke Gifford Stadium,,Match Report,Match Cancelled
Sun,2020-04-19,14:00 (08:00),Tottenham,,,,Bristol City,,The Hive Stadium,,Match Report,Match Cancelled
Wed,2020-04-22,19:30 (13:30),West Ham,,,,Manchester City,,Rush Green Stadium,,Match Report,Match Cancelled
Sun,2020-04-26,12:00 (06:00),Liverpool,,,,Brighton,,Prenton Park,,Match Report,Match Cancelled
Sun,2020-04-26,12:30 (06:30),Everton,,,,West Ham,,Walton Hall Park,,Match Report,Match Cancelled
Sun,2020-04-26,14:00 (08:00),Manchester City,,,,Tottenham,,Academy Stadium,,Match Report,Match Cancelled
Sun,2020-04-26,14:00 (08:00),Reading,,,,Chelsea,,Adams Park,,Match Report,Match Cancelled
Sun,2020-04-26,14:00 (08:00),Birmingham City,,,,Arsenal,,Damson Park,,Match Report,Match Cancelled
Sun,2020-04-26,15:00 (09:00),Bristol City,,,,Manchester Utd,,Stoke Gifford Stadium,,Match Report,Match Cancelled
Sun,2020-05-03,12:30 (06:30),Everton,,,,Chelsea,,Walton Hall Park,Lucy Oliver,Match Report,Match Cancelled
Sun,2020-05-03,15:00 (09:00),Bristol City,,,,West Ham,,Stoke Gifford Stadium,,Match Report,Match Cancelled
Wed,2020-05-06,19:30 (13:30),Birmingham City,,,,Reading,,Damson Park,,Match Report,Match Cancelled
Day ,Date ,Time ,Home ,xG ,Score ,xG ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
Tue,2020-05-12,19:30 (13:30),Manchester Utd,,,,Chelsea,,Leigh Sports Village Stadium,,Match Report,Match Cancelled
Wed,2020-05-13,19:30 (13:30),Arsenal,,,,Tottenham,,Meadow Park,,Match Report,Match Cancelled
Sat,2020-05-16,,Tottenham,,,,Reading,,The Hive Stadium,,Match Report,Match Cancelled
Sat,2020-05-16,,Brighton,,,,Manchester City,,Checkatrade.com Stadium,,Match Report,Match Cancelled
Sat,2020-05-16,,Manchester Utd,,,,Birmingham City,,Leigh Sports Village Stadium,,Match Report,Match Cancelled
Sat,2020-05-16,,Chelsea,,,,Liverpool,,Cherry Red Records Fans' Stadium,,Match Report,Match Cancelled
Sat,2020-05-16,,West Ham,,,,Bristol City,,Rush Green Stadium,,Match Report,Match Cancelled
Sat,2020-05-16,,Arsenal,,,,Everton,,Meadow Park,,Match Report,Match Cancell
