Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Feb 25 2012,FIATC Mutua Joventut,71,,Asefa Estudiantes,56,,,
Sun Feb 26 2012,Blu:sens Monbús,64,,Lucentum Alicante,63,,,
Sun Feb 26 2012,Mad-Croc Fuenlabrada,59,,FC Barcelona Regal,86,,,
Sun Feb 26 2012,Banca Cívica,71,,Assignia Manresa,76,,,
Sun Feb 26 2012,Gescrap Bizkaia,69,,UCAM Murcia,73,,,
Sun Feb 26 2012,Gran Canaria 2014,72,,Real Madrid,90,,,
Sun Feb 26 2012,CAI Zaragoza,75,,Lagun Aro GBC,76,,,
Sun Feb 26 2012,Valencia Basket,68,,Unicaja,58,,,
Sun Feb 26 2012,Blancos de Rueda Valladolid,65,,Laboral Kutxa,67,,,
Sat Mar 3 2012,FIATC Mutua Joventut,72,,Mad-Croc Fuenlabrada,55,,,
Sat Mar 3 2012,UCAM Murcia,60,,Banca Cívica,76,,,
Sat Mar 3 2012,Laboral Kutxa,68,,Valencia Basket,63,,,
Sat Mar 3 2012,Lucentum Alicante,57,,Blancos de Rueda Valladolid,69,,,
Sat Mar 3 2012,Unicaja,59,,CAI Zaragoza,76,,,
Sun Mar 4 2012,FC Barcelona Regal,72,,Gescrap Bizkaia,65,,,
Sun Mar 4 2012,Assignia Manresa,77,,Gran Canaria 2014,63,,,
Sun Mar 4 2012,Real Madrid,83,,Blu:sens Monbús,69,,,
Sun Mar 4 2012,Asefa Estudiantes,81,,Lagun Aro GBC,103,,,
Tue Mar 6 2012,Valencia Basket,70,,Lucentum Alicante,65,,,
Tue Mar 6 2012,Blu:sens Monbús,77,,Assignia Manresa,86,,,
Wed Mar 7 2012,Gescrap Bizkaia,67,,FIATC Mutua Joventut,91,,,
Wed Mar 7 2012,Gran Canaria 2014,60,,UCAM Murcia,76,,,
Wed Mar 7 2012,Lagun Aro GBC,89,,Unicaja,81,,,
Wed Mar 7 2012,CAI Zaragoza,65,,Laboral Kutxa,75,,,
Thu Mar 8 2012,Banca Cívica,66,,FC Barcelona Regal,63,,,
Sat Mar 10 2012,Assignia Manresa,70,,Blancos de Rueda Valladolid,79,,,
Sun Mar 11 2012,Mad-Croc Fuenlabrada,81,,Gescrap Bizkaia,92,,,
Sun Mar 11 2012,FC Barcelona Regal,90,,Gran Canaria 2014,93,,9OT,
Sun Mar 11 2012,UCAM Murcia,62,,Blu:sens Monbús,69,,,
Sun Mar 11 2012,Laboral Kutxa,73,,Lagun Aro GBC,81,,,
Sun Mar 11 2012,FIATC Mutua Joventut,77,,Banca Cívica,73,,,
Sun Mar 11 2012,Asefa Estudiantes,74,,Unicaja,67,,,
Sun Mar 11 2012,Real Madrid,66,,Valencia Basket,83,,,
Sun Mar 11 2012,Lucentum Alicante,49,,CAI Zaragoza,65,,,
Tue Mar 13 2012,Blancos de Rueda Valladolid,55,,Real Madrid,76,,,
Sat Mar 17 2012,Blu:sens Monbús,58,,FC Barcelona Regal,71,,,
Sat Mar 17 2012,Gescrap Bizkaia,71,,Asefa Estudiantes,69,,,
Sat Mar 17 2012,Valencia Basket,89,,Assignia Manresa,68,,,
Sun Mar 18 2012,Lagun Aro GBC,68,,Lucentum Alicante,79,,,
Sun Mar 18 2012,Banca Cívica,75,,Mad-Croc Fuenlabrada,70,,,
Sun Mar 18 2012,Gran Canaria 2014,81,,FIATC Mutua Joventut,73,,,
Sun Mar 18 2012,Blancos de Rueda Valladolid,56,,UCAM Murcia,85,,,
Sun Mar 18 2012,CAI Zaragoza,71,,Real Madrid,85,,,
Sun Mar 18 2012,Unicaja,68,,Laboral Kutxa,90,,,
Sat Mar 24 2012,Lucentum Alicante,60,,Unicaja,72,,,
Sat Mar 24 2012,UCAM Murcia,80,,Valencia Basket,87,,,
Sat Mar 24 2012,FC Barcelona Regal,92,,Blancos de Rueda Valladolid,86,,9OT,
Sun Mar 25 2012,Mad-Croc Fuenlabrada,65,,Gran Canaria 2014,70,,,
Sun Mar 25 2012,FIATC Mutua Joventut,60,,Blu:sens Monbús,73,,,
Sun Mar 25 2012,Real Madrid,90,,Lagun Aro GBC,98,,,
Sun Mar 25 2012,Gescrap Bizkaia,110,,Banca Cívica,108,,9OT,
Sun Mar 25 2012,Asefa Estudiantes,74,,Laboral Kutxa,89,,,
Sun Mar 25 2012,Assignia Manresa,71,,CAI Zaragoza,72,,,
Sat Mar 31 2012,Blu:sens Monbús,82,,Mad-Croc Fuenlabrada,63,,,
Sun Apr 1 2012,Laboral Kutxa,71,,Lucentum Alicante,72,,,
Sun Apr 1 2012,Valencia Basket,72,,FC Barcelona Regal,76,,,
Sun Apr 1 2012,Gran Canaria 2014,72,,Gescrap Bizkaia,78,,,
Sun Apr 1 2012,Banca Cívica,77,,Asefa Estudiantes,64,,,
Sun Apr 1 2012,Blancos de Rueda Valladolid,73,,FIATC Mutua Joventut,83,,,
Sun Apr 1 2012,Lagun Aro GBC,79,,Assignia Manresa,74,,,
Sun Apr 1 2012,CAI Zaragoza,62,,UCAM Murcia,76,,,
Sun Apr 1 2012,Unicaja,51,,Real Madrid,64,,,
Tue Apr 3 2012,Mad-Croc Fuenlabrada,76,,Asefa Estudiantes,72,,,
Sat Apr 7 2012,FIATC Mutua Joventut,67,,Valencia Basket,90,,,
Sat Apr 7 2012,Mad-Croc Fuenlabrada,66,,Blancos de Rueda Valladolid,69,,,
Sun Apr 8 2012,Blu:sens Monbús,71,,Gescrap Bizkaia,79,,,
Sun Apr 8 2012,Banca Cívica,74,,Gran Canaria 2014,66,,,
Sun Apr 8 2012,UCAM Murcia,71,,Lagun Aro GBC,67,,,
Sun Apr 8 2012,Assignia Manresa,96,,Unicaja,81,,,
Sun Apr 8 2012,FC Barcelona Regal,68,,CAI Zaragoza,49,,,
Mon Apr 9 2012,Real Madrid,66,,Laboral Kutxa,67,,,
Sat Apr 14 2012,Blu:sens Monbús,59,,Banca Cívica,79,,,
Sun Apr 15 2012,Lagun Aro GBC,61,,FC Barcelona Regal,77,,,
Sun Apr 15 2012,Blancos de Rueda Valladolid,77,,Gescrap Bizkaia,89,,,
Sun Apr 15 2012,Gran Canaria 2014,52,,Asefa Estudiantes,61,,,
Sun Apr 15 2012,CAI Zaragoza,63,,FIATC Mutua Joventut,85,,,
Sun Apr 15 2012,Laboral Kutxa,70,,Assignia Manresa,72,,,
Sun Apr 15 2012,Unicaja,77,,UCAM Murcia,86,,,
Sun Apr 15 2012,Lucentum Alicante,87,,Real Madrid,91,,,
Wed Apr 18 2012,Valencia Basket,90,,Mad-Croc Fuenlabrada,68,,,
Thu Apr 19 2012,Asefa Estudiantes,83,,Lucentum Alicante,65,,,
Sat Apr 21 2012,Gran Canaria 2014,45,,Blu:sens Monbús,65,,,
Sat Apr 21 2012,Banca Cívica,77,,Blancos de Rueda Valladolid,72,,,
Sat Apr 21 2012,UCAM Murcia,65,,Laboral Kutxa,71,,,
Sat Apr 21 2012,Mad-Croc Fuenlabrada,78,,CAI Zaragoza,80,,,
Sun Apr 22 2012,Assignia Manresa,70,,Lucentum Alicante,76,,,
Sun Apr 22 2012,Asefa Estudiantes,80,,Real Madrid,85,,,
Sun Apr 22 2012,FIATC Mutua Joventut,85,,Lagun Aro GBC,90,,,
Sun Apr 22 2012,FC Barcelona Regal,89,,Unicaja,57,,,
Sun Apr 22 2012,Gescrap Bizkaia,63,,Valencia Basket,66,,,
Wed Apr 25 2012,CAI Zaragoza,57,,Gescrap Bizkaia,68,,,
Wed Apr 25 2012,Blu:sens Monbús,62,,Asefa Estudiantes,79,,,
Wed Apr 25 2012,Blancos de Rueda Valladolid,59,,Gran Canaria 2014,64,,,
Wed Apr 25 2012,Valencia Basket,58,,Banca Cívica,65,,,
