Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
16,Sat,2019-02-09,14:30 (07:30),AS Roma,3–1,Florentia,300,Stadio Torbellamonaca,Simone Taricone,Match Report,
16,Sat,2019-02-09,14:30 (07:30),Fiorentina,4–1,Sassuolo,400,Stadio Comunale Gino Bozzi,Andrea Bianchini,Match Report,
16,Sat,2019-02-09,14:30 (07:30),ChievoVerona,3–1,Orobica Calcio,300,Stadio AGSM Olivieri,Simone Galipò,Match Report,
16,Sat,2019-02-09,14:30 (07:30),Atalanta,0–0,Juventus,"1,200",Stadio Comunale,Tommaso Zamagni,Match Report,
16,Sat,2019-02-09,14:30 (07:30),Pink Bari,0–0,Tavagnacco,250,Stadio Antonio Antonacci,Ivan Catallo,Match Report,
16,Sun,2019-02-10,12:30 (05:30),AC Milan,2–0,AGSM Verona,300,Centro Sportivo Peppino Vismara,Valentina Finzi,Match Report,
,,,,,,,,,,,
17,Sat,2019-02-16,14:30 (07:30),Sassuolo,0–1,ChievoVerona,250,Stadio Città del Tricolore,Stefano Nicolini,Match Report,
17,Sat,2019-02-16,14:30 (07:30),Tavagnacco,0–1,Fiorentina,250,Stadio Comunale di Tavagnacco,Carlo Rinaldi,Match Report,
17,Sat,2019-02-16,14:30 (07:30),Florentia,0–2,Atalanta,100,Stadio Goffredo Del Buffa,Mattia Ubaldi,Match Report,
17,Sat,2019-02-16,14:30 (07:30),Orobica Calcio,2–3,AS Roma,200,Stadio Centro Sportivo Flaminio,Michele Delrio,Match Report,
17,Sat,2019-02-16,14:30 (07:30),AGSM Verona,1–2,Pink Bari,200,Stadio AGSM Olivieri,Alberto Arena,Match Report,
17,Sun,2019-02-17,12:30 (05:30),Juventus,2–0,AC Milan,"2,000",Stadio Silvio Piola,Davide Di Marco,Match Report,
,,,,,,,,,,,
15,Tue,2019-03-12,12:30 (06:30),Sassuolo,3–0,Pink Bari,100,Stadio Città del Tricolore,Dario Duzel,Match Report,
,,,,,,,,,,,
18,Sat,2019-03-16,14:30 (08:30),Pink Bari,1–3,Juventus,500,Stadio Antonio Antonacci,Andrea Ancora,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
18,Sat,2019-03-16,15:00 (09:00),Fiorentina,3–0,AGSM Verona,300,Stadio Comunale Gino Bozzi,Jacopo Pascariello,Match Report,
18,Sat,2019-03-16,15:00 (09:00),ChievoVerona,0–5,AS Roma,250,Stadio AGSM Olivieri,Giorgio Vergaro,Match Report,
