Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
14,Sun,2019-02-17,13:00 (06:00),FFC Frankfurt,3–3,Turbine Potsdam,"1,780",Stadion am Brentanobad,Laura Duske,Match Report,
14,Sun,2019-02-17,14:00 (07:00),Freiburg,6–0,Leverkusen,"1,008",Möslestadion,Christine Weigelt ,Match Report,
14,Sun,2019-02-17,14:00 (07:00),Werder Bremen,5–0,MSV Duisburg,289,Weserstadion Platz 11,Mirka Derlin,Match Report,
14,Sun,2019-02-17,14:00 (07:00),Essen,2–2,Hoffenheim,"1,197",Stadion Essen,Miriam Schweinefuss,Match Report,
14,Sun,2019-02-17,15:00 (08:00),Bayern Munich,4–2,Wolfsburg,"2,155",Städtisches Stadion an der Grünwalder St...,Marina Wozniak,Match Report,
,,,,,,,,,,,
15,Sat,2019-02-23,14:00 (07:00),Leverkusen,3–0,M'gladbach,255,Jugendleistungszentrum Kurtekotten,Susann Kunkel,Match Report,
15,Sat,2019-02-23,14:00 (07:00),Turbine Potsdam,2–2,Essen,"1,231",Karl-Liebknecht-Stadion,Angelika Söder,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
15,Sat,2019-02-23,14:00 (07:00),MSV Duisburg,1–6,Freiburg,440,PCC-Stadion,Franziska Wildfeuer,Match Report,
15,Sun,2019-02-24,11:00 (04:00),Sand,0–1,FFC Frankfurt,525,Orsay Stadion,Kathrin Heimann,Match Report,
15,Sun,2019-02-24,14:00 (07:00),Hoffenheim,0–1,Bayern Munich,"1,650",Dietmar-Hopp-Stadion,Nadine Westerhoff,Match Report,
15,Sun,2019-02-24,14:00 (07:00),Wolfsburg,6–0,Werder Bremen,"1,632",AOK Stadion,Melissa Joos,Match Report,
,,,,,,,,,,,
16,Sat,2019-03-16,14:05 (08:05),Essen,4–3,FFC Frankfurt,"1,060",Stadion Essen,Mirka Derlin,Match Report,
16,Sun,2019-03-17,11:00 (05:00),Werder Bremen,1–1,Hoffenheim,238,Weserstadion Platz 11,Christine Weigelt ,Match Report,
16,Sun,2019-03-17,14:00 (08:00),Freiburg,2–3,Wolfsburg,"1,152",Möslestadion,Ines Appelmann,Match Report,
16,Sun,2019-03-17,14:00 (08:00),Bayern Munich,5–0,Turbine Potsdam,"1,168",FC Bayern Campus Platz 1,Karoline Wacker,Match Report,
16,Sun,2019-03-17,16:00 (10:00),Leverkusen,1–1,Sand,458,Ulrich-Haberland-Stadion,Miriam Schweinefuss,Match Report,
,,,,,,,,,,,
17,Sat,2019-03-23,14:00 (08:00),Hoffenheim,2–1,Freiburg,630,Dietmar-Hopp-Stadion,Fabienne Michel,Match Report,
17,Sun,2019-03-24,11:00 (05:00),Sand,0–1,Essen,575,Orsay Stadion,Christina Biehl,Match Report,
17,Sun,2019-03-24,14:00 (08:00),MSV Duisburg,1–0,Leverkusen,543,PCC-Stadion,Angelika Söder,Match Report,
17,Sun,2019-03-24,14:00 (08:00),Wolfsburg,8–0,M'gladbach,"1,694",AOK Stadion,Franziska Wildfeuer,Match Report,
17,Sun,2019-03-24,14:00 (08:00),Turbine Potsdam,5–0,Werder Bremen,"1,457",Karl-Liebknecht-Stadion,Nadine Westerhoff,Match Report,
17,Sun,2019-03-24,15:00 (09:00),FFC Frankfurt,0–3,Bayern Munich,"1,940",Stadion am Brentanobad,Susann Kunkel,Match Report,
,,,,,,,,,,,
16,Wed,2019-03-27,19:00 (13:00),M'gladbach,0–1,MSV Duisburg,280,Grenzlandstadion,Fabienne Michel,Match Report,
,,,,,,,,,,,
18,Sun,2019-04-14,11:00 (04:00),Werder Bremen,2–1,FFC Frankfurt,234,Weserstadion Platz 11,Fabienne Michel,Match Report,
18,Sun,2019-04-14,11:00 (04:00),MSV Duisburg,2–2,Sand,418,PCC-Stadion,Sandra Stolz,Match Report,
18,Sun,2019-04-14,11:00 (04:00),M'gladbach,0–4,Hoffenheim,132,Grenzlandstadion,Melissa Joos,Match Report,
18,Sun,2019-04-14,13:00 (06:00),Freiburg,1–2,Turbine Potsdam,"1,056",Möslestadion,Mirka Derlin,Match Report,
18,Sun,2019-04-14,14:00 (07:00),Leverkusen,0–5,Wolfsburg,378,Ulrich-Haberland-Stadion,Karoline Wacker,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
18,Sun,2019-04-14,15:00 (08:00),Bayern Munich,2–2,Essen,345,Städtisches Stadion an der Grünwalder St...,Kathrin Heimann,Match Report,
,,,,,,,,,,,
19,Wed,2019-04-17,17:00 (10:00),Sand,1–1,Bayern Munich,"1,335",Orsay Stadion,Christina Biehl,Match Report,
19,Sat,2019-04-20,14:00 (07:00),FFC Frankfurt,0–0,Freiburg,"1,150",Stadion am Brentanobad,Christina Biehl,Match Report,
19,Sat,2019-04-20,15:00 (08:00),Hoffenheim,6–2,Leverkusen,450,Dietmar-Hopp-Stadion,Sina Diekmann,Match Report,
19,Sun,2019-04-21,14:00 (07:00),Turbine Potsdam,6–0,M'gladbach,"1,164",Karl-Liebknecht-Stadion,Anna-Lena Heidenreich,Match Report,
19,Mon,2019-04-22,13:00 (06:00),Wolfsburg,5–0,MSV Duisburg,"1,690",AOK Stadion,Christine Weigelt ,Match Report,
19,Mon,2019-04-22,14:00 (07:00),Essen,2–2,Werder Bremen,"1,247",Stadion Essen,Susann Kunkel,Match Report,
,,,,,,,,,,,
20,Sun,2019-04-28,11:00 (04:00),M'gladbach,0–9,FFC Frankfurt,173,Grenzlandstadion,Nadine Westerhoff,Match Report,
20,Sun,2019-04-28,14:00 (07:00),Leverkusen,1–1,Turbine Potsdam,445,Ulrich-Haberland-Stadion,Angelika Söder,Match Report,
20,Sun,2019-04-28,14:00 (07:00),Freiburg,1–2,Essen,640,Möslestadion,Marina Wozniak,Match Report,
20,Sun,2019-04-28,14:00 (07:00),MSV Duisburg,2–2,Hoffenheim,419,PCC-Stadion,Miriam Schweinefuss,Match Report,
20,Sun,2019-04-28,14:00 (07:00),Wolfsburg,7–0,Sand,"1,602",AOK Stadion,Laura Duske,Match Report,
,,,,,,,,,,,
21,Sun,2019-05-05,14:00 (07:00),Essen,3–0,M'gladbach,"1,456",Stadion Essen,Angelika Söder,Match Report,
21,Sun,2019-05-05,14:00 (07:00),Bayern Munich,3–0,Freiburg,"1,065",Städtisches Stadion an der Grünwalder St...,Sandra Stolz,Match Report,
21,Sun,2019-05-05,14:00 (07:00),Werder Bremen,1–3,Sand,372,Weserstadion Platz 11,Ines Appelmann,Match Report,
21,Sun,2019-05-05,14:00 (07:00),FFC Frankfurt,4–2,Leverkusen,"1,320",Stadion am Brentanobad,Melissa Joos,Match Report,
21,Sun,2019-05-05,14:00 (07:00),Hoffenheim,0–1,Wolfsburg,830,Dietmar-Hopp-Stadion,Christina Biehl,Match Report,
21,Sun,2019-05-05,14:00 (07:00),Turbine Potsdam,3–0,MSV Duisburg,"1,836",Karl-Liebknecht-Stadion,Karoline Wacker,Match Report,
,,,,,,,,,,,
20,Wed,2019-05-08,18:30 (11:30),Werder Bremen,0–1,Bayern Munich,453,Weserstadion Platz 11,Franziska Wildfeuer,Match Report,
,,,,,,,,,,,
22,Sun,2019-05-12,14:00 (07:00),Sand,2–2,Hoffenheim,635,Orsay Stadion,Anna-Lena Heidenreich,Match Report,
22,Sun,2019-05-12,14:00 (07:00),M'gladbach,0–5,Bayern Munich,351,Grenzlandstadion,Ines Appelmann,Match Report,
22,Sun,2019-05-12,14:00 (07:00),Leverkusen,2–1,Essen,395,Jugendleistungszentrum Kurtekotten,Fabienne Michel,Match Report,
22,Sun,2019-05-12,14:00 (07:00),MSV Duisburg,0–2,FFC Frankfurt,418,PCC-Stadion,Sina Diekmann,Match Report,
22,Sun,2019-05-12,14:00 (07:00),Freiburg,1–1,Werder Bremen,"1,236",Möslestadion,Kathrin Heimann,Match Report,
22,Sun,2019-05-12,14:00 (07:00),Wolfsburg,2–0,Turbine Potsdam,"3,406",AOK Stadion,Marina Wozniak,Match Report,
