Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Wed Nov 22 2006,10:30p,Seattle SuperSonics,95,Los Angeles Clippers,85,Box Score,,16290,STAPLES Center,
Fri Nov 24 2006,7:30p,Toronto Raptors,93,Atlanta Hawks,97,Box Score,,16630,Philips Arena,
Fri Nov 24 2006,7:30p,New York Knicks,101,Boston Celtics,77,Box Score,,18624,TD Banknorth Garden,
Fri Nov 24 2006,7:30p,Orlando Magic,107,Miami Heat,104,Box Score,,19600,AmericanAirlines Arena,
Fri Nov 24 2006,7:30p,Chicago Bulls,108,Philadelphia 76ers,123,Box Score,,16795,Wachovia Center,
Fri Nov 24 2006,8:00p,Charlotte Bobcats,95,Detroit Pistons,104,Box Score,,22076,The Palace of Auburn Hills,
Fri Nov 24 2006,8:00p,Cleveland Cavaliers,87,Indiana Pacers,97,Box Score,,18165,Conseco Fieldhouse,
Fri Nov 24 2006,8:00p,Washington Wizards,80,Memphis Grizzlies,95,Box Score,,15067,FedEx Forum,
Fri Nov 24 2006,8:00p,Minnesota Timberwolves,86,New Orleans/Oklahoma City Hornets,79,Box Score,,18258,Ford Center,
Fri Nov 24 2006,8:00p,Dallas Mavericks,95,San Antonio Spurs,92,Box Score,,18797,AT&T Center,
Fri Nov 24 2006,9:00p,Golden State Warriors,129,Denver Nuggets,140,Box Score,,16234,Pepsi Center,
Fri Nov 24 2006,9:00p,Los Angeles Lakers,108,Utah Jazz,114,Box Score,,19911,EnergySolutions Arena,
Fri Nov 24 2006,10:30p,New Jersey Nets,93,Phoenix Suns,99,Box Score,,18422,US Airways Center,
Fri Nov 24 2006,10:30p,Sacramento Kings,109,Seattle SuperSonics,100,Box Score,,16757,KeyArena at Seattle Center,
Sat Nov 25 2006,7:00p,Miami Heat,102,Charlotte Bobcats,93,Box Score,,19403,Charlotte Bobcats Arena,
Sat Nov 25 2006,7:00p,Atlanta Hawks,79,Orlando Magic,98,Box Score,,17451,Amway Arena,
Sat Nov 25 2006,7:00p,Detroit Pistons,115,Washington Wizards,111,Box Score,,20173,Verizon Center,
Sat Nov 25 2006,7:30p,Philadelphia 76ers,95,Cleveland Cavaliers,108,Box Score,,20562,Quicken Loans Arena,
Sat Nov 25 2006,7:30p,Chicago Bulls,106,New York Knicks,95,Box Score,,19763,Madison Square Garden (IV),
Sat Nov 25 2006,8:00p,Los Angeles Clippers,96,Minnesota Timberwolves,104,Box Score,,15379,Target Center,
Sat Nov 25 2006,8:30p,New Orleans/Oklahoma City Hornets,73,Dallas Mavericks,85,Box Score,,20315,American Airlines Center,
Sat Nov 25 2006,8:30p,Memphis Grizzlies,76,Houston Rockets,85,Box Score,,16707,Toyota Center,
Sat Nov 25 2006,9:00p,Boston Celtics,111,Milwaukee Bucks,98,Box Score,,16592,Bradley Center,
Sat Nov 25 2006,10:00p,Portland Trail Blazers,85,Sacramento Kings,105,Box Score,,17317,ARCO Arena (II),
Sat Nov 25 2006,10:30p,Utah Jazz,78,Golden State Warriors,91,Box Score,,17711,Oracle Arena,
Sun Nov 26 2006,1:00p,Indiana Pacers,83,Toronto Raptors,92,Box Score,,18075,Air Canada Centre,
Sun Nov 26 2006,8:00p,Los Angeles Clippers,88,Denver Nuggets,103,Box Score,,14236,Pepsi Center,
Sun Nov 26 2006,9:00p,Phoenix Suns,119,Portland Trail Blazers,101,Box Score,,17610,Rose Garden Arena,
Sun Nov 26 2006,9:00p,San Antonio Spurs,98,Seattle SuperSonics,78,Box Score,,15483,KeyArena at Seattle Center,
Sun Nov 26 2006,9:30p,New Jersey Nets,93,Los Angeles Lakers,99,Box Score,,18997,STAPLES Center,
Mon Nov 27 2006,7:30p,Philadelphia 76ers,91,Miami Heat,103,Box Score,,19600,AmericanAirlines Arena,
Mon Nov 27 2006,8:30p,Minnesota Timberwolves,87,Dallas Mavericks,93,Box Score,,19939,American Airlines Center,
Mon Nov 27 2006,9:00p,Orlando Magic,88,Utah Jazz,75,Box Score,,16889,EnergySolutions Arena,
Mon Nov 27 2006,10:30p,San Antonio Spurs,102,Golden State Warriors,111,Box Score,,17078,Oracle Arena,
Tue Nov 28 2006,7:00p,Atlanta Hawks,95,Washington Wizards,96,Box Score,,14403,Verizon Center,
Tue Nov 28 2006,7:30p,Charlotte Bobcats,96,New Jersey Nets,92,Box Score,,14531,Continental Airlines Arena,
Tue Nov 28 2006,8:00p,Toronto Raptors,94,New Orleans/Oklahoma City Hornets,77,Box Score,,15647,Ford Center,
Tue Nov 28 2006,8:30p,New York Knicks,85,Chicago Bulls,102,Box Score,,22272,United Center,
Tue Nov 28 2006,8:30p,Minnesota Timberwolves,75,Houston Rockets,82,Box Score,,12709,Toyota Center,
Tue Nov 28 2006,9:00p,Memphis Grizzlies,108,Denver Nuggets,96,Box Score,,12435,Pepsi Center,
Tue Nov 28 2006,10:00p,Indiana Pacers,105,Portland Trail Blazers,97,Box Score,,12714,Rose Garden Arena,
Tue Nov 28 2006,10:00p,Los Angeles Clippers,80,Sacramento Kings,93,Box Score,,17317,ARCO Arena (II),
Tue Nov 28 2006,10:30p,Milwaukee Bucks,109,Los Angeles Lakers,105,Box Score,,18997,STAPLES Center,
Wed Nov 29 2006,7:00p,Charlotte Bobcats,90,Atlanta Hawks,99,Box Score,,13296,Philips Arena,
Wed Nov 29 2006,7:00p,New York Knicks,101,Cleveland Cavaliers,98,Box Score,,20192,Quicken Loans Arena,
Wed Nov 29 2006,7:30p,New Jersey Nets,106,Boston Celtics,103,Box Score,,16042,TD Banknorth Garden,
Wed Nov 29 2006,8:30p,Toronto Raptors,98,Dallas Mavericks,117,Box Score,,19975,American Airlines Center,
Wed Nov 29 2006,9:00p,Houston Rockets,91,Phoenix Suns,102,Box Score,,18422,US Airways Center,
Wed Nov 29 2006,9:00p,San Antonio Spurs,75,Utah Jazz,83,Box Score,,19089,EnergySolutions Arena,
Wed Nov 29 2006,10:00p,Orlando Magic,94,Seattle SuperSonics,84,Box Score,,14232,KeyArena at Seattle Center,
Wed Nov 29 2006,10:30p,Indiana Pacers,108,Golden State Warriors,106,Box Score,,17284,Oracle Arena,
Wed Nov 29 2006,10:30p,Memphis Grizzlies,90,Los Angeles Clippers,105,Box Score,,15829,STAPLES Center,
Thu Nov 30 2006,8:00p,Detroit Pistons,87,Miami Heat,85,Box Score,,19600,AmericanAirlines Arena,
Thu Nov 30 2006,10:30p,Utah Jazz,102,Los Angeles Lakers,132,Box Score,,18997,STAPLES Center,
Fri Dec 1 2006,7:00p,Boston Celtics,102,Toronto Raptors,106,Box Score,,16562,Air Canada Centre,
Fri Dec 1 2006,7:00p,Charlotte Bobcats,109,Washington Wizards,121,Box Score,,18853,Verizon Center,
Fri Dec 1 2006,7:30p,Cleveland Cavaliers,106,Atlanta Hawks,95,Box Score,,19650,Philips Arena,
Fri Dec 1 2006,8:00p,New York Knicks,100,Detroit Pistons,108,Box Score,,22076,The Palace of Auburn Hills,
Fri Dec 1 2006,8:00p,Denver Nuggets,106,Minnesota Timberwolves,92,Box Score,,14768,Target Center,
Fri Dec 1 2006,8:00p,Chicago Bulls,111,New Orleans/Oklahoma City Hornets,108,Box Score,,19164,Ford Center,
Fri Dec 1 2006,8:30p,Sacramento Kings,90,Dallas Mavericks,109,Box Score,,20277,American Airlines Center,
